# Standardized format: timestamp,action,coin,amount,price,portfolio_value
# Old entries filled with placeholders for missing fields
2025-05-19T23:16:55.268277,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:05.281468,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:07.285923,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:13.293511,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:21.304418,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:23.308840,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:25.313003,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:33.323910,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:39.331023,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:41.334856,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:43.337749,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:45.342045,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:47.346572,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:53.354228,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:57.359430,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:17:59.363179,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:18:11.376719,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:18:21.387752,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:18:27.395405,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:18:29.399762,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:18:31.402706,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:18:33.408054,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:18:35.411442,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:18:43.419626,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:18:47.425405,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:18:53.434210,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:01.443380,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:03.448792,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:05.453314,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:07.456040,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:13.465807,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:15.469627,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:17.474159,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:19.477101,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:21.481568,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:25.488413,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:29.496023,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:31.499595,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:35.505897,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:37.508660,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:19:41.516516,BUY,UNKNOWN,NaN,NaN,NaN
